"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"501",13,"Jakob Johnson",NE,"RB132","14","3 out of 5 stars","-"
"502",13,"Keith Smith",ATL,"RB133","6","2 out of 5 stars","-"
"503",13,"Hunter Bryant",DET,"TE79","9","4 out of 5 stars","-"
"504",13,"Jaelon Darden",TB,"WR173","9","2 out of 5 stars","-"
"505",13,"Frank Gore",FA,"RB134","-","-","-"
"506",13,"Michael Burton",KC,"RB135","12","4 out of 5 stars","-"
"507",13,"Gary Brightwell",NYG,"RB136","10","2 out of 5 stars","-"
"508",13,"Johnny Mundt",LAR,"TE80","11","2 out of 5 stars","-"
"509",13,"Gunner Olszewski",NE,"WR174","14","4 out of 5 stars","-"
"510",13,"Corey Clement",DAL,"RB137","7","2 out of 5 stars","-80"
"511",13,"Tavon Austin",JAC,"WR175","7","5 out of 5 stars","-"
"512",13,"Marcedes Lewis",GB,"TE81","13","3 out of 5 stars","-"
"513",13,"Isaiah Coulter",CHI,"WR176","10","3 out of 5 stars","-"
"514",13,"Ray-Ray McCloud",PIT,"WR177","7","2 out of 5 stars","-"
"515",13,"Tommy Sweeney",BUF,"TE82","7","2 out of 5 stars","-"
"516",13,"John Hightower",PHI,"WR178","14","3 out of 5 stars","-"
"517",13,"KeeSean Johnson",PHI,"WR179","14","3 out of 5 stars","-"
"518",13,"Dwayne Haskins",PIT,"QB46","7","4 out of 5 stars","-"
"519",13,"Khari Blasingame",TEN,"RB138","13","3 out of 5 stars","-"
"520",13,"Chris Hogan",FA,"WR180","-","-","-"
"521",13,"Jonathan Ward",ARI,"RB139","12","3 out of 5 stars","-"
"522",13,"Noah Brown",DAL,"WR181","7","1 out of 5 stars","-"
"523",13,"Simi Fehoko",DAL,"WR182","7","1 out of 5 stars","-"
"524",13,"Phillip Walker",CAR,"QB47","13","4 out of 5 stars","-"
"525",13,"Tim Tebow",JAC,"TE83","7","4 out of 5 stars","-256"
"526",13,"Equanimeous St. Brown",GB,"WR183","13","1 out of 5 stars","-"
"527",13,"Dazz Newsome",CHI,"WR184","10","3 out of 5 stars","-103"
"528",13,"Andrew Jacas",SF,"K43","6","4 out of 5 stars","-"
"529",13,"Jauan Jennings",SF,"WR185","6","5 out of 5 stars","-"
"530",13,"Jacoby Brissett",MIA,"QB48","14","4 out of 5 stars","-60"
"531",13,"Phillip Dorsett II",JAC,"WR186","7","5 out of 5 stars","-"
"532",13,"Aldrick Rosas",FA,"K44","-","-","-104"
"533",13,"Chad Hansen",DET,"WR187","9","1 out of 5 stars","-"
"534",14,"Tre Harbison",CLE,"RB140","13","4 out of 5 stars","-"
"535",14,"Devin Asiasi",NE,"TE84","14","5 out of 5 stars","-"
"536",14,"Ricky Seals-Jones",WAS,"TE85","9","3 out of 5 stars","-"
"537",14,"Luke Farrell",JAC,"TE86","7","4 out of 5 stars","-"
"538",14,"Charlie Woerner",SF,"TE87","6","4 out of 5 stars","-86"
"539",14,"Alex Armah",NO,"RB141","6","2 out of 5 stars","-"
"540",14,"Pooka Williams Jr.",CIN,"RB142","10","3 out of 5 stars","-236"
"541",14,"Josh Oliver",BAL,"TE88","8","4 out of 5 stars","-"
"542",14,"Dedrick Mills",FA,"RB143","-","-","-"
"543",14,"Lee Smith",ATL,"TE89","6","2 out of 5 stars","-"
"544",14,"KhaDarel Hodge",DET,"WR188","9","1 out of 5 stars","-"
"545",14,"LeSean McCoy",FA,"RB144","-","-","-"
"546",14,"Jamal Agnew",JAC,"WR189","7","5 out of 5 stars","-"
"547",14,"Zach Gentry",PIT,"TE90","7","5 out of 5 stars","-"
"548",14,"Derek Carrier",LV,"TE91","8","4 out of 5 stars","-"
"549",14,"Reggie Gilliam",BUF,"RB145","7","3 out of 5 stars","-"
"550",14,"James Proche",BAL,"WR190","8","2 out of 5 stars","-"
"551",14,"Sage Surratt",DET,"WR191","9","1 out of 5 stars","-"
"552",14,"Ashton Dulin",IND,"WR192","14","5 out of 5 stars","-"
"553",14,"Brandon Zylstra",CAR,"WR193","13","5 out of 5 stars","-"
"554",14,"Sam Ehlinger",IND,"QB49","14","4 out of 5 stars","-145"
"555",14,"Stephen Anderson",LAC,"TE92","7","3 out of 5 stars","-178"
"556",14,"Tajae Sharpe",ATL,"WR194","6","4 out of 5 stars","-"
"557",14,"Tom Kennedy",DET,"WR195","9","1 out of 5 stars","-120"
"558",14,"John Bates",WAS,"TE93","9","3 out of 5 stars","-"
"559",14,"K.J. Hill Jr.",LAC,"WR196","7","3 out of 5 stars","-"
"560",14,"Nick Bowers",LV,"TE94","8","4 out of 5 stars","-"
"561",14,"Cade Johnson",SEA,"WR197","9","1 out of 5 stars","-"
"562",14,"Kellen Mond",MIN,"QB50","7","3 out of 5 stars","-"
"563",14,"Garrett Griffin",NO,"TE95","6","4 out of 5 stars","-"
"564",14,"Trenton Cannon",FA,"RB146","-","-","-"
"565",14,"Kaden Smith",NYG,"TE96","10","3 out of 5 stars","-"
"566",14,"Jaeden Graham",ATL,"TE97","6","2 out of 5 stars","-"
"567",14,"Eric Saubert",DEN,"TE98","11","4 out of 5 stars","-"
"568",14,"Cethan Carter",MIA,"TE99","14","4 out of 5 stars","-"
"569",14,"Trevon Wesco",NYJ,"TE100","6","3 out of 5 stars","-"
"570",14,"Brandon Bolden",NE,"RB147","14","3 out of 5 stars","-"
"571",14,"Nick Foles",CHI,"QB51","10","2 out of 5 stars","-"
"572",14,"Malcolm Perry",NE,"WR198","14","4 out of 5 stars","-"
"573",14,"Daniel Brown",NYJ,"TE101","6","3 out of 5 stars","-"
"574",14,"Diontae Spencer",DEN,"WR199","11","4 out of 5 stars","-"
"575",14,"Daurice Fountain",KC,"WR200","12","3 out of 5 stars","-"
"576",14,"Thaddeus Moss",CIN,"TE102","10","2 out of 5 stars","-"
"577",14,"Brandon Dillon",MIN,"TE103","7","2 out of 5 stars","-122"
"578",14,"Jaylen Samuels",PIT,"RB148","7","5 out of 5 stars","-163"
"579",14,"J.P. Holtz",CHI,"TE104","10","1 out of 5 stars","-"
"580",14,"Mitchell Wilcox",CIN,"TE105","10","2 out of 5 stars","-"
"581",14,"Otis Anderson Jr.",LAR,"RB149","11","4 out of 5 stars","-"
"582",14,"Kenny Yeboah",NYJ,"TE106","6","3 out of 5 stars","-"
"583",14,"Charlie Taumoepeau",DET,"TE107","9","4 out of 5 stars","-"
"584",14,"Marcus Kemp",KC,"WR201","12","3 out of 5 stars","-"
"585",14,"DeAndre Carter",WAS,"WR202","9","3 out of 5 stars","-"
"586",14,"Kevin White",NO,"WR203","6","4 out of 5 stars","-"
"587",14,"Justin Watson",TB,"WR204","9","2 out of 5 stars","-"
"588",14,"Tyler Huntley",BAL,"QB52","8","2 out of 5 stars","-"
"589",14,"Ben Skowronek",LAR,"WR205","11","5 out of 5 stars","-"
"590",14,"Raymond Calais",LAR,"RB150","11","4 out of 5 stars","-"
"591",14,"Colby Parkinson",SEA,"TE108","9","1 out of 5 stars","-"
"592",14,"Mike Thomas",CIN,"WR206","10","2 out of 5 stars","-"
"593",14,"Kendall Hinton",DEN,"WR207","11","4 out of 5 stars","-"
"594",14,"Dan Chisena",MIN,"WR208","7","3 out of 5 stars","-"
"595",14,"Mason Rudolph",PIT,"QB53","7","4 out of 5 stars","-"
"596",14,"Sammis Reyes",WAS,"TE109","9","3 out of 5 stars","-"
"597",14,"Jared Pinkney",DET,"TE110","9","4 out of 5 stars","-"
"598",14,"Chester Rogers",TEN,"WR209","13","3 out of 5 stars","-"
"599",14,"Lamar Miller",WAS,"RB151","9","3 out of 5 stars","-"
"600",14,"Jack Stoll",PHI,"TE111","14","3 out of 5 stars","-"
"601",14,"Nsimba Webster",CHI,"WR210","10","3 out of 5 stars","-"
"602",14,"Josiah Deguara",GB,"TE112","13","3 out of 5 stars","-"
"603",14,"Theo Riddick",LV,"RB152","8","2 out of 5 stars","-"
"604",14,"Geronimo Allison",FA,"WR211","-","-","-"
"605",14,"Jarrett Stidham",NE,"QB54","14","5 out of 5 stars","-"
"606",14,"Jesper Horsted",CHI,"TE113","10","1 out of 5 stars","-145"
"607",14,"Sean McKeon",DAL,"TE114","7","2 out of 5 stars","-"
"608",14,"Jeremy Sprinkle",DAL,"TE115","7","2 out of 5 stars","-"
"609",14,"Antonio Callaway",FA,"WR212","-","-","-203"
"610",14,"Seth Williams",DEN,"WR213","11","4 out of 5 stars","-"
"611",14,"Chris Streveler",ARI,"QB55","12","2 out of 5 stars","-"
"612",14,"DaeSean Hamilton",DEN,"WR214","11","4 out of 5 stars","-"
"613",14,"Racey McMath",TEN,"WR215","13","3 out of 5 stars","-"
"614",14,"Ben Ellefson",MIN,"TE116","7","2 out of 5 stars","-"
"615",14,"Tommy Hudson",TEN,"TE117","13","2 out of 5 stars","-"
"616",14,"Dezmon Patmon",IND,"WR216","14","5 out of 5 stars","-167"
"617",14,"Andy Janovich",CLE,"RB153","13","4 out of 5 stars","-"
"618",14,"Ryan Izzo",NYG,"TE118","10","3 out of 5 stars","-"
"619",14,"Javon Wims",FA,"WR217","-","-","-"
"620",14,"Marcus Johnson",TEN,"WR218","13","3 out of 5 stars","-"
"621",14,"Penny Hart",SEA,"WR219","9","1 out of 5 stars","-"
"622",14,"Demetrius Harris",ARI,"TE119","12","2 out of 5 stars","-"
"623",14,"D.J. Montgomery",NYJ,"WR220","6","4 out of 5 stars","-"
"624",14,"Chris Moore",FA,"WR221","-","-","-"
"625",14,"C.J. Board",NYG,"WR222","10","3 out of 5 stars","-"
"626",14,"T.J. Vasher",DAL,"WR223","7","1 out of 5 stars","-"
"627",14,"Nick Westbrook-Ikhine",TEN,"WR224","13","3 out of 5 stars","-"
"628",15,"Jesse James",CHI,"TE120","10","1 out of 5 stars","-"
"629",15,"Stephen Guidry",DAL,"WR225","7","1 out of 5 stars","-"
"630",15,"Jordan Thomas",FA,"TE121","-","-","-"
"631",15,"Trey Ragas",LV,"RB154","8","2 out of 5 stars","-"
"632",15,"Alex Erickson",FA,"WR226","-","-","-"
"633",15,"Antoine Wesley",ARI,"WR227","12","2 out of 5 stars","-"
"634",15,"Kyle Trask",TB,"QB56","9","2 out of 5 stars","-"
"635",15,"Dalton Keene",NE,"TE122","14","5 out of 5 stars","-"
"636",15,"Joe Reed",LAC,"WR228","7","3 out of 5 stars","-"
"637",15,"Jake Kumerow",BUF,"WR229","7","3 out of 5 stars","-"
"638",15,"Dominique Dafney",GB,"TE123","13","3 out of 5 stars","-"
"639",15,"Jeff Smith",NYJ,"WR230","6","4 out of 5 stars","-"
"640",15,"Mason Schreck",CIN,"TE124","10","2 out of 5 stars","-"
"641",15,"Malik Taylor",GB,"WR231","13","1 out of 5 stars","-"
"642",15,"Chad Henne",KC,"QB57","12","4 out of 5 stars","-180"
"643",15,"Stanley Morgan Jr.",CIN,"WR232","10","2 out of 5 stars","-"
"644",15,"Antony Auclair",HOU,"TE125","10","4 out of 5 stars","-"
"645",15,"Colin Thompson",CAR,"TE126","13","4 out of 5 stars","-"
"646",15,"DeMichael Harris",IND,"WR233","14","5 out of 5 stars","-"
"647",15,"Brandon Allen",CIN,"QB58","10","2 out of 5 stars","-"
"648",15,"Stephen Sullivan",CAR,"TE127","13","4 out of 5 stars","-"
"649",15,"Joe Flacco",PHI,"QB59","14","4 out of 5 stars","-180"
"650",15,"Chase Daniel",LAC,"QB60","7","2 out of 5 stars","-"
"651",15,"Giovanni Ricci",CAR,"TE128","13","4 out of 5 stars","-"
"652",15,"C.J. Beathard",JAC,"QB61","7","4 out of 5 stars","-"
"653",15,"John Wolford",LAR,"QB62","11","4 out of 5 stars","-"
"654",15,"Farrod Green",IND,"TE129","14","4 out of 5 stars","-"
"655",15,"Case Keenum",CLE,"QB63","13","3 out of 5 stars","-"
"656",15,"Colt McCoy",ARI,"QB64","12","2 out of 5 stars","-"
"657",15,"Nick Keizer",KC,"TE130","12","3 out of 5 stars","-"
"658",15,"Trishton Jackson",MIN,"WR234","7","3 out of 5 stars","-"
"659",15,"Riley Ridley",FA,"WR235","-","-","-227"
"660",15,"Kyle Allen",WAS,"QB65","9","4 out of 5 stars","-"
"661",15,"Devin Funchess",FA,"WR236","-","-","-292"
"662",15,"Mike Glennon",NYG,"QB66","10","4 out of 5 stars","-198"
"663",15,"Zach Davidson",MIN,"TE131","7","2 out of 5 stars","-"
"664",15,"Dax Milne",WAS,"WR237","9","3 out of 5 stars","-"
"665",15,"Trent Taylor",CIN,"WR238","10","2 out of 5 stars","-"
"666",16,"Caleb Wilson",FA,"TE132","-","-","-"
"667",16,"Patrick Laird",MIA,"RB155","14","4 out of 5 stars","-"
"668",16,"Josh Adams",NYJ,"RB156","6","4 out of 5 stars","-"
"669",16,"Dante Pettis",NYG,"WR239","10","3 out of 5 stars","-"
